io_uring_register(fd=285, opcode=0x2, arg=0x0, nr_args=-6) = -1 (Operation not supported)
io_uring_register(fd=401, opcode=0x2, arg=0x1, nr_args=0x1218d8608a631686) = -1 (Operation not supported)
io_uring_register(fd=401, opcode=0x2, arg=0x7f39777cb000, nr_args=481) = -1 (Operation not supported)
io_uring_register(fd=401, opcode=0x2, arg=0x0, nr_args=0xff0000) = -1 (Operation not supported)
io_uring_register(fd=401, opcode=0x2, arg=0x7f39777cc000, nr_args=55) = -1 (Operation not supported)
io_uring_register(fd=401, opcode=0x2, arg=0x0, nr_args=-10) = -1 (Operation not supported)
io_uring_register(fd=401, opcode=0x2, arg=0x7f3977ed0000, nr_args=0x4000000) = -1 (Operation not supported)
io_uring_register(fd=295, opcode=0x2, arg=0x8, nr_args=0xd3d3d3d3) = -1 (Operation not supported)
io_uring_register(fd=295, opcode=0x2, arg=0x1, nr_args=0x3820080100100a20) = -1 (Operation not supported)
io_uring_register(fd=295, opcode=0x2, arg=0x7f3977fd0000, nr_args=0xdcdcdcdc) = -1 (Operation not supported)
io_uring_register(fd=295, opcode=0x2, arg=0x8, nr_args=0) = -1 (Operation not supported)
io_uring_register(fd=295, opcode=0x2, arg=0x7f3977bd0000, nr_args=0xcbcbcbcb) = -1 (Operation not supported)
io_uring_register(fd=295, opcode=0x2, arg=0x4, nr_args=-5) = -1 (Operation not supported)
io_uring_register(fd=294, opcode=0x2, arg=0x0, nr_args=0xfff9) = -1 (Operation not supported)
io_uring_register(fd=294, opcode=0x2, arg=0x0, nr_args=0xfff8) = -1 (Operation not supported)
io_uring_register(fd=294, opcode=0x2, arg=0x8, nr_args=2891) = -1 (Operation not supported)
io_uring_register(fd=357, opcode=0x2, arg=0x8, nr_args=0x81000080) = -1 (Operation not supported)
io_uring_register(fd=357, opcode=0x2, arg=0x7f39777cb000, nr_args=64) = -1 (Operation not supported)
io_uring_register(fd=27, opcode=0x2, arg=0x1, nr_args=-6) = -1 (Operation not supported)
io_uring_register(fd=27, opcode=0x2, arg=0x8, nr_args=8) = -1 (Operation not supported)
io_uring_register(fd=27, opcode=0x2, arg=0x7f3977bd0000, nr_args=0xfffffff7) = -1 (Operation not supported)
io_uring_register(fd=27, opcode=0x2, arg=0x7f39779d0000, nr_args=-4) = -1 (Operation not supported)
io_uring_register(fd=27, opcode=0x2, arg=0x7f39777d0000, nr_args=-3) = -1 (Operation not supported)
io_uring_register(fd=300, opcode=0x2, arg=0x8, nr_args=0x38d32c2257) = -1 (Operation not supported)
io_uring_register(fd=300, opcode=0x2, arg=0x0, nr_args=0xa7a7a7a7) = -1 (Operation not supported)
io_uring_register(fd=300, opcode=0x2, arg=0x7f39779d0000, nr_args=32) = -1 (Operation not supported)
io_uring_register(fd=285, opcode=0x2, arg=0x0, nr_args=255) = -1 (Operation not supported)
io_uring_register(fd=285, opcode=0x2, arg=0x7f3977bd0000, nr_args=32) = -1 (Operation not supported)
io_uring_register(fd=388, opcode=0x2, arg=0x7f39777cc000, nr_args=4096) = -1 (Operation not supported)
io_uring_register(fd=388, opcode=0x2, arg=0x1, nr_args=0xf5af4f) = -1 (Operation not supported)
io_uring_register(fd=388, opcode=0x2, arg=0x7f39777d0000, nr_args=0x800000) = -1 (Operation not supported)
io_uring_register(fd=13, opcode=0x2, arg=0x7f39779d0000, nr_args=0x800c000) = -1 (Operation not supported)
io_uring_register(fd=13, opcode=0x2, arg=0x0, nr_args=-10) = -1 (Operation not supported)
io_uring_register(fd=13, opcode=0x2, arg=0x4, nr_args=244) = -1 (Operation not supported)
io_uring_register(fd=13, opcode=0x2, arg=0x7f39798d8000, nr_args=-45) = -1 (Operation not supported)
io_uring_register(fd=13, opcode=0x2, arg=0x8, nr_args=0x1e1e1e1e) = -1 (Operation not supported)
io_uring_register(fd=392, opcode=0x2, arg=0x1, nr_args=5) = -1 (Operation not supported)
io_uring_register(fd=392, opcode=0x2, arg=0x7f39777cc000, nr_args=0x74d08460401181) = -1 (Operation not supported)
io_uring_register(fd=392, opcode=0x2, arg=0x7f3977ed0000, nr_args=0) = -1 (Operation not supported)
io_uring_register(fd=392, opcode=0x2, arg=0x8, nr_args=0xffff) = -1 (Operation not supported)
io_uring_register(fd=392, opcode=0x2, arg=0x8, nr_args=-2) = -1 (Operation not supported)
io_uring_register(fd=298, opcode=0x2, arg=0x7f3977ed0000, nr_args=-2) = -1 (Operation not supported)
io_uring_register(fd=298, opcode=0x2, arg=0x8, nr_args=0x2000000) = -1 (Operation not supported)
io_uring_register(fd=298, opcode=0x2, arg=0x8, nr_args=0x6565) = -1 (Operation not supported)
io_uring_register(fd=311, opcode=0x2, arg=0x0, nr_args=32) = -1 (Operation not supported)
io_uring_register(fd=311, opcode=0x2, arg=0x0, nr_args=1024) = -1 (Operation not supported)
io_uring_register(fd=299, opcode=0x3, arg=0x4, nr_args=-9) = -1 (Operation not supported)
io_uring_register(fd=299, opcode=0x3, arg=0x7f39777cd000, nr_args=0x200000) = -1 (Operation not supported)
