fsetxattr(fd=30, name=0x0, value=0x1, size=0, flags=0x2) = -1 (Bad address)
fsetxattr(fd=30, name=0x1, value=0x2, size=-5, flags=0x2) = -1 (Bad address)
fsetxattr(fd=30, name=0x7fe8fdbfa000, value=0x7fe8fdbfa000, size=8, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=289, name=0x4, value=0x8, size=98, flags=0x2) = -1 (Bad address)
fsetxattr(fd=289, name=0x4, value=0x5, size=0x480a9000, flags=0x2) = -1 (Bad address)
fsetxattr(fd=289, name=0x0, value=0x8, size=0x5ede, flags=0x2) = -1 (Bad address)
fsetxattr(fd=289, name=0x8, value=0x7fe8ffb02000, size=0, flags=0x2) = -1 (Bad address)
fsetxattr(fd=289, name=0x4, value=0x4, size=0x78120875, flags=0x2) = -1 (Bad address)
fsetxattr(fd=193, name=0x4, value=0x7fe8fd9f5000, size=1, flags=0x2) = -1 (Read-only file system)
fsetxattr(fd=193, name=0x1, value=0x7fe8fd9f5000, size=8, flags=0x2) = -1 (Read-only file system)
fsetxattr(fd=193, name=0x0, value=0x0, size=4, flags=0x2) = -1 (Read-only file system)
fsetxattr(fd=393, name=0x0, value=0x7fe8fd9f6000, size=1, flags=0x2) = -1 (Bad address)
fsetxattr(fd=393, name=0x7fe8fd9f5000, value=0x7fe8fd9f5001, size=1084, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=393, name=0x7fe8fd9f9000, value=0x7fe8fd9f9001, size=4096, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=18, name=0x4, value=0x4, size=0xb46b40, flags=0x2) = -1 (Bad address)
fsetxattr(fd=18, name=0x7fe8fd9fa000, value=0x7fe8fd9fa001, size=349, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=18, name=0x0, value=0x7fe8fdbfa000, size=2229, flags=0x2) = -1 (Bad address)
fsetxattr(fd=18, name=0x8, value=0x9, size=1, flags=0x2) = -1 (Bad address)
fsetxattr(fd=18, name=0x7fe8fe0fa000, value=0x7fe8ffb02000, size=0xcc01, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=18, name=0x0, value=0x1, size=0xefff, flags=0x2) = -1 (Bad address)
fsetxattr(fd=307, name=0x4, value=0x5, size=233, flags=0x2) = -1 (Bad address)
fsetxattr(fd=307, name=0x4, value=0x7fe8fdffa000, size=4096, flags=0x2) = -1 (Bad address)
fsetxattr(fd=404, name=0x8, value=0x7fe8fd9fa000, size=1024, flags=0x2) = -1 (Bad address)
fsetxattr(fd=404, name=0x8, value=0x7fe8fd9f6000, size=4, flags=0x2) = -1 (Bad address)
fsetxattr(fd=321, name=0x7fe8fd9f5000, value=0x7fe8fd9f5000, size=8, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=321, name=0x0, value=0x4, size=1, flags=0x2) = -1 (Bad address)
fsetxattr(fd=321, name=0x4, value=0x7fe8fdbfa000, size=-10, flags=0x2) = -1 (Bad address)
fsetxattr(fd=321, name=0x7fe8fd9f5000, value=0x7fe8fd9f5000, size=62, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=387, name=0x1, value=0x7fe8fe0fa000, size=8, flags=0x2) = -1 (Bad address)
fsetxattr(fd=387, name=0x7fe8fd9f6000, value=0x7fe8fd9f6000, size=8, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=387, name=0x7fe8ffb02000, value=0x7fe8fdbfa000, size=4096, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=387, name=0x8, value=0x10, size=1, flags=0x2) = -1 (Bad address)
fsetxattr(fd=387, name=0x8, value=0x0, size=8, flags=0x2) = -1 (Bad address)
fsetxattr(fd=387, name=0x7fe8fddfa000, value=0x7fe8fddfa000, size=0x939393, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=186, name=0x7fe8ffb02000, value=0x7fe8ffb02004, size=1216, flags=0x2) = -1 (Read-only file system)
fsetxattr(fd=186, name=0x4, value=0x7fe8fd9f7000, size=0, flags=0x2) = -1 (Read-only file system)
fsetxattr(fd=186, name=0x4, value=0x7fe8fdbfa000, size=4096, flags=0x2) = -1 (Read-only file system)
fsetxattr(fd=186, name=0x7fe8fdbfa000, value=0x7fe8fe0fa000, size=0xb0b0b, flags=0x2) = -1 (Read-only file system)
fsetxattr(fd=290, name=0x7fe8fd9fa000, value=0x7fe8fd9fa000, size=134, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=290, name=0x7fe8fd9fa000, value=0x7fe8fe0fa000, size=4096, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=290, name=0x0, value=0x7fe8fd9f6000, size=0x23f10000, flags=0x2) = -1 (Bad address)
fsetxattr(fd=409, name=0x7fe8fd9fa000, value=0x7fe8fd9fa001, size=0, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=409, name=0x0, value=0x7fe8fe1fa000, size=5831, flags=0x2) = -1 (Bad address)
fsetxattr(fd=409, name=0x8, value=0x7fe8fd9f8000, size=16, flags=0x3) = -1 (Bad address)
fsetxattr(fd=409, name=0x0, value=0x1, size=36, flags=0x3) = -1 (Bad address)
fsetxattr(fd=409, name=0x4, value=0x5, size=4096, flags=0x3) = -1 (Bad address)
fsetxattr(fd=404, name=0x7fe8fddfa000, value=0x7fe8fddfa000, size=6, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=404, name=0x8, value=0x7fe8fe0fa000, size=4096, flags=0x3) = -1 (Bad address)
fsetxattr(fd=404, name=0x0, value=0x0, size=0, flags=0x3) = -1 (Bad address)
fsetxattr(fd=404, name=0x4, value=0x7fe8fd9f6000, size=8, flags=0x3) = -1 (Bad address)
fsetxattr(fd=404, name=0x7fe8fd9f6000, value=0x7fe8fd9f6008, size=0xff0000, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=282, name=0x8, value=0x8, size=20, flags=0x3) = -1 (Bad address)
fsetxattr(fd=282, name=0x8, value=0xc, size=0x45a28, flags=0x3) = -1 (Bad address)
fsetxattr(fd=300, name=0x7fe8fe1fa000, value=0x0, size=4, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=300, name=0x0, value=0x1, size=180, flags=0x3) = -1 (Bad address)
fsetxattr(fd=292, name=0x0, value=0x7fe8fd9fa000, size=8, flags=0x3) = -1 (Bad address)
fsetxattr(fd=292, name=0x4, value=0x8, size=4, flags=0x3) = -1 (Bad address)
fsetxattr(fd=292, name=0x7fe8fdbfa000, value=0x7fe8fdffa000, size=8, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=384, name=0x7fe8fdffa000, value=0x7fe8fdffa004, size=4, flags=0x3) = -1 (Numerical result out of range)
