msgctl(msqid=-5, cmd=0xb, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=0x63636363, cmd=0xb, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=-8, cmd=0xb, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=-1, cmd=0xb, buf=0x7f2647c4d000) = -1 (Invalid argument)
msgctl(msqid=0x80000000, cmd=0xb, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xbebebebe, cmd=0xb, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=190, cmd=0xb, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=221, cmd=0xb, buf=0x7f2646343000) = -1 (Invalid argument)
msgctl(msqid=-4, cmd=0xb, buf=0x7f2647c4d000) = -1 (Invalid argument)
msgctl(msqid=0x666fbca8283db3e8, cmd=0xb, buf=0x7f2645d43000) = -1 (Invalid argument)
msgctl(msqid=0xb0b0b0b, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=130, cmd=0xb, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=0xffff, cmd=0xb, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=-222, cmd=0xb, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=4080, cmd=0xb, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0x46dd63ccb040, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0xef693d8ac31a, cmd=0xb, buf=0x7f2646243000) = -1 (Invalid argument)
msgctl(msqid=-3, cmd=0xb, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x10000, cmd=0xb, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=4, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x4f4f4f4f, cmd=0xb, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x60098e294c, cmd=0xb, buf=0x7f2645d43000) = -1 (Invalid argument)
msgctl(msqid=0x575d, cmd=0xb, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x40000000, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=-5, cmd=0xb, buf=0x7f2645d43000) = -1 (Invalid argument)
msgctl(msqid=0x704611c804, cmd=0xb, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0xce01, cmd=0xb, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=8192, cmd=0xb, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0x2489948002, cmd=0x0, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x53cf2ab07df4, cmd=0x2, buf=0x7fa315279000) = -1 (Invalid argument)
msgctl(msqid=0x2e92e6104c0604ac, cmd=0x2, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=1, cmd=0x2, buf=0x7fa31527e000) = -1 (Invalid argument)
msgctl(msqid=0x8000000, cmd=0x2, buf=0x0) = -1 (Invalid argument)
