clock_nanosleep(which_clock=0x1, flags=0x565082306, rqtp=0x0, rmtp=0x8) = -1 (Bad address)
clock_nanosleep(which_clock=0x1, flags=0x565082306, rqtp=0x7f49aa2da000, rmtp=0x7f49a9bd6000) = 0
clock_nanosleep(which_clock=0x1, flags=0x1, rqtp=0x0, rmtp=0x1) = -1 (Bad address)
clock_nanosleep(which_clock=0x1, flags=0x1, rqtp=0x7f49aa1da000, rmtp=0x7f49aa1da008) = 0
clock_nanosleep(which_clock=0x1, flags=0x565082306, rqtp=0x8, rmtp=0x10) = -1 (Bad address)
clock_nanosleep(which_clock=0x1, flags=0x565082306, rqtp=0x1, rmtp=0x7f49abce4000) = -1 (Bad address)
clock_nanosleep(which_clock=0x1, flags=0x565082306, rqtp=0x7f49a9bda000, rmtp=0x7f49a9bda001) = 0
clock_nanosleep(which_clock=0x2, flags=0x565082306, rqtp=0x7f49a9bd6000, rmtp=0x7f49a9bd5000) = 0
clock_nanosleep(which_clock=0x2, flags=0x1, rqtp=0x0, rmtp=0x7f49aa2da000) = -1 (Bad address)
clock_nanosleep(which_clock=0x2, flags=0x1, rqtp=0x7f49aa3da000, rmtp=0x7f49aa3da000) = 0
clock_nanosleep(which_clock=0x2, flags=0x565082306, rqtp=0x7f49a9bda000, rmtp=0x7f49a9fda000) = 0
