epoll_ctl(epfd=307, op=0x1, fd=132, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=307, op=0x1, fd=21, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=14, op=0x1, fd=14, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=404, op=0x1, fd=404, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=404, op=0x1, fd=304, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=328, op=0x1, fd=288, event=0x55cdb3baa170) = -1 (Operation not permitted)
epoll_ctl(epfd=328, op=0x1, fd=182, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=295, op=0x1, fd=295, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=295, op=0x1, fd=285, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=12, op=0x1, fd=276, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=12, op=0x1, fd=12, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=324, op=0x1, fd=324, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=324, op=0x1, fd=324, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=19, op=0x1, fd=354, event=0x55cdb3baa170) = 0
epoll_ctl(epfd=19, op=0x3, fd=19, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=282, op=0x3, fd=361, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=16, op=0x3, fd=82, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=16, op=0x3, fd=16, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=16, op=0x3, fd=405, event=0x55cdb3baa170) = -1 (No such file or directory)
epoll_ctl(epfd=117, op=0x3, fd=9, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=10, op=0x3, fd=10, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=10, op=0x3, fd=15, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=403, op=0x3, fd=403, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=403, op=0x3, fd=403, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=329, op=0x3, fd=329, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=300, op=0x3, fd=283, event=0x55cdb3baa170) = -1 (Invalid argument)
