futex_waitv(waiters=0xbed3351c111f4e, nr_futexes=-1, flags=0, timeout=0x80000008, clockid=0xf4800412852) = -1 (Function not implemented)
futex_waitv(waiters=0x4004004003, nr_futexes=0x8a0222b21235, flags=0, timeout=0x9000, clockid=0x57575757) = -1 (Function not implemented)
futex_waitv(waiters=0xe141d5c89b, nr_futexes=0x400000, flags=0, timeout=182, clockid=0x608ab3a6170a1252) = -1 (Function not implemented)
futex_waitv(waiters=0x1565597a, nr_futexes=-5, flags=0, timeout=136, clockid=131) = -1 (Function not implemented)
futex_waitv(waiters=0xa00fff7, nr_futexes=-4, flags=0, timeout=203, clockid=0x1ba3ba9e3f9fe498) = -1 (Function not implemented)
futex_waitv(waiters=20, nr_futexes=0x89898989, flags=0, timeout=-8, clockid=128) = -1 (Function not implemented)
futex_waitv(waiters=0x1000000000, nr_futexes=0, flags=0, timeout=8192, clockid=0xff97) = -1 (Function not implemented)
futex_waitv(waiters=43, nr_futexes=0xfaeb11712ade, flags=0, timeout=-10, clockid=2808) = -1 (Function not implemented)
futex_waitv(waiters=0x100000, nr_futexes=-3, flags=0, timeout=0xfffffffe, clockid=86) = -1 (Function not implemented)
futex_waitv(waiters=0x10000000, nr_futexes=-112, flags=0, timeout=96, clockid=0x58585858) = -1 (Function not implemented)
futex_waitv(waiters=-6, nr_futexes=142, flags=0, timeout=0x4a9703b16409, clockid=0xffffffff) = -1 (Function not implemented)
futex_waitv(waiters=44, nr_futexes=-1, flags=0, timeout=1493, clockid=5232) = -1 (Function not implemented)
futex_waitv(waiters=0x63a67579, nr_futexes=8224, flags=0, timeout=0xb56220e3eb, clockid=0xcbcbcbcb) = -1 (Function not implemented)
futex_waitv(waiters=0x8f8f8f8f, nr_futexes=203, flags=0, timeout=0xc0c0c0c0, clockid=0xffff0000) = -1 (Function not implemented)
futex_waitv(waiters=0x5358c967, nr_futexes=83, flags=0, timeout=0xd000047559, clockid=0x7eba5f26f0af) = -1 (Function not implemented)
futex_waitv(waiters=512, nr_futexes=0xfff9, flags=0, timeout=0xdc896487007011, clockid=224) = -1 (Function not implemented)
futex_waitv(waiters=0x494958029e0f, nr_futexes=0xfffe, flags=0, timeout=0xc0c0402181c6, clockid=0x20000) = -1 (Function not implemented)
futex_waitv(waiters=0xffffffff7d7d7d7e, nr_futexes=0xa9921861295e, flags=0, timeout=0x250822d164716987, clockid=0x8933ab314491) = -1 (Function not implemented)
futex_waitv(waiters=98, nr_futexes=-1, flags=0, timeout=-6, clockid=0x8008908034) = -1 (Function not implemented)
futex_waitv(waiters=4096, nr_futexes=-3, flags=0, timeout=32, clockid=0xc0df0000) = -1 (Function not implemented)
futex_waitv(waiters=0x9000, nr_futexes=-8, flags=0, timeout=-1800, clockid=22) = -1 (Function not implemented)
futex_waitv(waiters=76, nr_futexes=-2, flags=0, timeout=0xffffffff, clockid=0x2a2a2a2a) = -1 (Function not implemented)
