io_uring_enter(fd=305, to_submit=0xffff7fff7bf1ffd0, min_complete=1, flags=0x2, sig=0x0, sigsz=0x86868686) = -1 (Operation not supported)
io_uring_enter(fd=305, to_submit=1024, min_complete=0xffe6, flags=0x2, sig=0x7f57cbdb6000, sigsz=183) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=0x16000052, min_complete=0x8ab01997a4d8, flags=0x2, sig=0x4, sigsz=73) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=4096, min_complete=0xffffffff8b8b8b8c, flags=0x2, sig=0x4, sigsz=0x19093a212e602284) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=0x80000000, min_complete=12, flags=0x2, sig=0x1, sigsz=0x4783) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=0x501810006115f45, min_complete=85, flags=0x2, sig=0x7f57cb9b1000, sigsz=197) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=0x400000, min_complete=32, flags=0x2, sig=0x7f57cbfb6000, sigsz=83) = -1 (Operation not supported)
io_uring_enter(fd=296, to_submit=226, min_complete=-7, flags=0x2, sig=0x0, sigsz=210) = -1 (Operation not supported)
io_uring_enter(fd=296, to_submit=1024, min_complete=0xa6bb, flags=0x2, sig=0x4, sigsz=0x7b8f) = -1 (Operation not supported)
io_uring_enter(fd=18, to_submit=0x29292929, min_complete=-10, flags=0x2, sig=0x7f57cbfb6000, sigsz=174) = -1 (Operation not supported)
io_uring_enter(fd=18, to_submit=0, min_complete=0x2a014000, flags=0x2, sig=0x7f57cbfb6000, sigsz=0xffff) = -1 (Operation not supported)
io_uring_enter(fd=18, to_submit=0xffffffffffeddfff, min_complete=-560, flags=0x2, sig=0x7f57cb9b6000, sigsz=-9) = -1 (Operation not supported)
io_uring_enter(fd=18, to_submit=8192, min_complete=512, flags=0x2, sig=0x1, sigsz=0x200000) = -1 (Operation not supported)
io_uring_enter(fd=18, to_submit=0x3d3d3d3d, min_complete=3196, flags=0x2, sig=0x1, sigsz=0x3a00c2000841041e) = -1 (Operation not supported)
io_uring_enter(fd=18, to_submit=0x2e8087cd531f2ada, min_complete=1023, flags=0x2, sig=0x7f57cc1b6000, sigsz=78) = -1 (Operation not supported)
io_uring_enter(fd=405, to_submit=1, min_complete=0xb000, flags=0x2, sig=0x1, sigsz=0xd2d2d2d2) = -1 (Operation not supported)
io_uring_enter(fd=405, to_submit=0xc000, min_complete=-8, flags=0x2, sig=0x8, sigsz=0x6ebd1c054872e8) = -1 (Operation not supported)
io_uring_enter(fd=405, to_submit=0x6322880100b24000, min_complete=0x5a5a5a5a, flags=0x2, sig=0x7f57cb9b6000, sigsz=0x9191) = -1 (Operation not supported)
