epoll_pwait(epfd=22, events=0x1, maxevents=0x487d1104014255, timeout=0x14141414, sigmask=0xf96d44141a6cd7, sigsetsize=0x2000000) = -1 (Invalid argument)
epoll_pwait(epfd=22, events=0x7fb592e06000, maxevents=0xa0a0a0a0, timeout=0x440840000500, sigmask=-4, sigsetsize=16) = -1 (Invalid argument)
epoll_pwait(epfd=22, events=0x1, maxevents=0xffff, timeout=0, sigmask=220, sigsetsize=0x69696969) = -1 (Invalid argument)
epoll_pwait(epfd=22, events=0x4, maxevents=0, timeout=0, sigmask=512, sigsetsize=0xfefefefe) = -1 (Invalid argument)
epoll_pwait(epfd=22, events=0x7fb593606000, maxevents=-6, timeout=8192, sigmask=-10, sigsetsize=0x20000) = -1 (Invalid argument)
epoll_pwait(epfd=308, events=0x1, maxevents=0x1ea57000, timeout=0x256675640202d37d, sigmask=1, sigsetsize=0xfffffffe) = -1 (Invalid argument)
epoll_pwait(epfd=308, events=0x4, maxevents=16384, timeout=1, sigmask=0x100000000, sigsetsize=0x5dbc94955632baa) = -1 (Invalid argument)
epoll_pwait(epfd=308, events=0x4, maxevents=0x8080840008580a, timeout=0xfff9, sigmask=0xffff5c54d08583cd, sigsetsize=-7) = -1 (Invalid argument)
epoll_pwait(epfd=308, events=0x7fb592e02000, maxevents=0xa7fbebfffacdef76, timeout=0x2c2c2c2c, sigmask=0x1aba8ce879bbe275, sigsetsize=56) = -1 (Invalid argument)
epoll_pwait(epfd=308, events=0x1, maxevents=41, timeout=0x5000, sigmask=32, sigsetsize=0x421725af17772a2f) = -1 (Invalid argument)
epoll_pwait(epfd=308, events=0x4, maxevents=-1, timeout=0x45cd9bd4334e81cb, sigmask=0x100000, sigsetsize=128) = -1 (Invalid argument)
epoll_pwait(epfd=13, events=0x1, maxevents=0x8dfc6482f307, timeout=114, sigmask=249, sigsetsize=0xc4042801) = -1 (Invalid argument)
epoll_pwait(epfd=13, events=0x7fb592e01000, maxevents=0x7b5d8d09394b090a, timeout=-7, sigmask=-148, sigsetsize=83) = -1 (Invalid argument)
epoll_pwait(epfd=13, events=0x0, maxevents=134, timeout=134, sigmask=0x7468227227, sigsetsize=64) = -1 (Invalid argument)
epoll_pwait(epfd=13, events=0x7fb593206000, maxevents=0x10000000, timeout=1, sigmask=0x3a3a3a3a, sigsetsize=119) = -1 (Invalid argument)
epoll_pwait(epfd=333, events=0x4, maxevents=0x2c0000211, timeout=0x100000, sigmask=64, sigsetsize=191) = -1 (Invalid argument)
epoll_pwait(epfd=333, events=0x4, maxevents=4, timeout=-8, sigmask=-3, sigsetsize=-4) = -1 (Invalid argument)
epoll_pwait(epfd=292, events=0x1, maxevents=175, timeout=0x2100fff6, sigmask=0x10000000, sigsetsize=0x285f8c42) = -1 (Invalid argument)
epoll_pwait(epfd=292, events=0x7fb594f10000, maxevents=0x10101010, timeout=0x100440080, sigmask=0x300fff7, sigsetsize=0xffd6) = -1 (Invalid argument)
epoll_pwait(epfd=292, events=0x7fb592e02000, maxevents=-6, timeout=-222, sigmask=0xc4c4c4c4, sigsetsize=3424) = -1 (Invalid argument)
epoll_pwait(epfd=292, events=0x8, maxevents=0x2054c0096cd1, timeout=-10, sigmask=0x77f7ffff, sigsetsize=138) = -1 (Invalid argument)
