futex(uaddr=0x7fe86d2ef000, op=0x7, val=255, utime=0x8, uaddr2=0x7fe86ebf9000, val3=0xffffefff) = -1 (Operation not permitted)
futex(uaddr=0x7fe86ebf9000, op=0x7, val=0x5e3f8c4a1e7205a4, utime=0x7fe86ccef000, uaddr2=0x7fe86ceef000, val3=0xe2e2e2e2) = -1 (Operation not permitted)
futex(uaddr=0x5647d8812ba0, op=0x7, val=-3, utime=0x1, uaddr2=0x5647d8812d80, val3=8) = -1 (Operation not permitted)
futex(uaddr=0x7fe86ebf7000, op=0x7, val=256, utime=0x7fe86caeb000, uaddr2=0x7fe86caef000, val3=8192) = -1 (Operation not permitted)
futex(uaddr=0x5647d8812880, op=0x5, val=1, utime=0x8, uaddr2=0x5647d8812880, val3=2) = 0
futex(uaddr=0x7fe86d0ef000, op=0x8, val=1, utime=0x4, uaddr2=0x7fe86d2ef000, val3=-9) = 0
futex(uaddr=0x5647d8812920, op=0x100, val=1, utime=0x0, uaddr2=0x5647d8812880, val3=84) = -1 (Function not implemented)
futex(uaddr=0x7fe86d0ef000, op=0x9, val=64, utime=0x8, uaddr2=0x7fe86d0ef000, val3=0xffd9) = -1 (Bad address)
futex(uaddr=0x7fe86caec000, op=0x9, val=0x320cc151736a73b1, utime=0x7fe86d0ef000, uaddr2=0x7fe86d2ef000, val3=203) = -1 (Resource temporarily unavailable)
futex(uaddr=0x5647d8812740, op=0x6, val=0x82828282, utime=0x0, uaddr2=0x5647d8812ce0, val3=0x3200a4440004) = -1 (No such process)
futex(uaddr=0x5647d8812660, op=0xb, val=0, utime=0x4, uaddr2=0x5647d8812920, val3=-3) = -1 (Bad address)
futex(uaddr=0x5647d8812ba0, op=0x9, val=0x92031224040a3e, utime=0x8, uaddr2=0x5647d8812c40, val3=-4) = -1 (Bad address)
futex(uaddr=0x5647d8812b00, op=0x80, val=1, utime=0x7fe86caea000, uaddr2=0x5647d8812920, val3=0x400021300061014) = -1 (Resource temporarily unavailable)
futex(uaddr=0x5647d8812a60, op=0x6, val=0xfffb, utime=0x8, uaddr2=0x5647d8812d80, val3=32) = -1 (Bad address)
futex(uaddr=0x7fe86d0ef000, op=0x9, val=0x99999999, utime=0x4, uaddr2=0x7fe86d2ef000, val3=32) = -1 (Bad address)
futex(uaddr=0x7fe86ebf9000, op=0x9, val=202, utime=0x1, uaddr2=0x7fe86ebf8000, val3=0x40000000) = -1 (Bad address)
futex(uaddr=0x5647d8812880, op=0x10b, val=0, utime=0x8, uaddr2=0x5647d88129c0, val3=235) = -1 (Bad address)
futex(uaddr=0x7fe86caec000, op=0x9, val=-8, utime=0x7fe86ceef000, uaddr2=0x7fe86caed000, val3=0) = -1 (Invalid argument)
futex(uaddr=0x5647d8812b00, op=0x5, val=1, utime=0x7fe86d1ef000, uaddr2=0x5647d8812880, val3=3) = 0
futex(uaddr=0x5647d8812880, op=0x5, val=1, utime=0x0, uaddr2=0x5647d8812a60, val3=5) = 0
futex(uaddr=0x5647d8812d80, op=0x10b, val=0, utime=0x7fe86ceef000, uaddr2=0x5647d8812d80, val3=0xfffffffffe000000) = -1 (Invalid argument)
futex(uaddr=0x5647d8812ce0, op=0xc, val=0x7fffffff, utime=0x0, uaddr2=0x5647d8812880, val3=0x41be2c2c292fffbb) = -1 (Invalid argument)
futex(uaddr=0x7fe86d1ef000, op=0xb, val=0xfffffffff7ffffff, utime=0x7fe86caef000, uaddr2=0x7fe86d2ef000, val3=160) = -1 (Resource temporarily unavailable)
futex(uaddr=0x5647d8812d80, op=0xb, val=0, utime=0x8, uaddr2=0x5647d8812b00, val3=1) = -1 (Bad address)
futex(uaddr=0x5647d8812660, op=0xb, val=57, utime=0x7fe86caeb000, uaddr2=0x5647d8812c40, val3=-6) = -1 (Resource temporarily unavailable)
futex(uaddr=0x7fe86d0ef000, op=0xb, val=0x6b686868, utime=0x7fe86d2ef000, uaddr2=0x7fe86ebf7000, val3=0x400000) = -1 (Resource temporarily unavailable)
futex(uaddr=0x5647d8812880, op=0x10b, val=0, utime=0x8, uaddr2=0x5647d8812880, val3=0x385d3bff) = -1 (Bad address)
futex(uaddr=0x7fe86caee000, op=0x10b, val=55, utime=0x7fe86caef000, uaddr2=0x7fe86ebf9000, val3=-6) = -1 (Resource temporarily unavailable)
futex(uaddr=0x7fe86ebf9000, op=0x10b, val=0xa5a5a5a5, utime=0x7fe86d0ef000, uaddr2=0x7fe86d0ef000, val3=0xffffffff00010000) = -1 (Resource temporarily unavailable)
futex(uaddr=0x7fe86ebf9000, op=0xb, val=255, utime=0x7fe86ceef000, uaddr2=0x7fe86caed000, val3=2048) = -1 (Resource temporarily unavailable)
futex(uaddr=0x7fe86d2ef000, op=0x10b, val=0, utime=0x7fe86d0ef000, uaddr2=0x7fe86ccef000, val3=54) = -1 (Connection timed out)
futex(uaddr=0x5647d8812660, op=0x5, val=1, utime=0x0, uaddr2=0x5647d8812d80, val3=3) = 0
futex(uaddr=0x7fe86ebf7000, op=0xc, val=129, utime=0x7fe86ccef000, uaddr2=0x7fe86caed000, val3=0) = -1 (Invalid argument)
