fgetxattr(fd=16, name=0x7ff12b685000, value=0x7ff12b685008, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=16, name=0x7ff12b480000, value=0x7ff12b885000, size=4) = -1 (Numerical result out of range)
fgetxattr(fd=17, name=0x4, value=0x7ff12b685000, size=-1) = -1 (Bad address)
fgetxattr(fd=17, name=0x8, value=0x0, size=0x4000000) = -1 (Bad address)
fgetxattr(fd=389, name=0x7ff12d58d000, value=0x7ff12d58d001, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=389, name=0x7ff12d58f000, value=0x7ff12b484000, size=8) = -1 (Numerical result out of range)
fgetxattr(fd=389, name=0x0, value=0x7ff12b480000, size=4) = -1 (Bad address)
fgetxattr(fd=12, name=0x0, value=0x7ff12ba85000, size=1) = -1 (Bad address)
fgetxattr(fd=12, name=0x8, value=0x10, size=0x482620) = -1 (Bad address)
fgetxattr(fd=12, name=0x7ff12d58d000, value=0x7ff12d58d004, size=22) = -1 (Numerical result out of range)
fgetxattr(fd=12, name=0x7ff12b485000, value=0x7ff12b485008, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=407, name=0x4, value=0x8, size=1) = -1 (Bad address)
fgetxattr(fd=407, name=0x4, value=0x5, size=1) = -1 (Bad address)
fgetxattr(fd=407, name=0x7f3863ffd000, value=0x7f3863ffd004, size=8) = -1 (Numerical result out of range)
fgetxattr(fd=407, name=0x0, value=0x7f3863dfd000, size=0x4070) = -1 (Bad address)
fgetxattr(fd=291, name=0x8, value=0x8, size=253) = -1 (Bad address)
fgetxattr(fd=291, name=0x0, value=0x0, size=4096) = -1 (Bad address)
fgetxattr(fd=291, name=0x4, value=0x8, size=1) = -1 (Bad address)
fgetxattr(fd=291, name=0x0, value=0x4, size=0xfffff) = -1 (Bad address)
fgetxattr(fd=291, name=0x7f38640fd000, value=0x7f38639f8000, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=291, name=0x7f3865b05000, value=0x7f38641fd000, size=4) = -1 (Numerical result out of range)
fgetxattr(fd=402, name=0x7f38641fd000, value=0x7f3865b06000, size=0) = -1 (Numerical result out of range)
fgetxattr(fd=402, name=0x0, value=0x0, size=8) = -1 (Bad address)
fgetxattr(fd=402, name=0x7f3865b06000, value=0x7f38639fd000, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=402, name=0x0, value=0x7f38640fd000, size=4) = -1 (Bad address)
fgetxattr(fd=402, name=0x0, value=0x0, size=4096) = -1 (Bad address)
fgetxattr(fd=402, name=0x8, value=0x0, size=4096) = -1 (Bad address)
fgetxattr(fd=19, name=0x0, value=0x1, size=8191) = -1 (Bad address)
fgetxattr(fd=19, name=0x8, value=0x9, size=132) = -1 (Bad address)
fgetxattr(fd=19, name=0x1, value=0x5, size=4096) = -1 (Bad address)
fgetxattr(fd=293, name=0x0, value=0x7f38639f9000, size=1092) = -1 (Bad address)
fgetxattr(fd=293, name=0x4, value=0x8, size=27) = -1 (Bad address)
fgetxattr(fd=293, name=0x8, value=0x7f38639fd000, size=510) = -1 (Bad address)
fgetxattr(fd=297, name=0x8, value=0x0, size=50) = -1 (Bad address)
fgetxattr(fd=297, name=0x7f38639fd000, value=0x7f3863bfd000, size=128) = -1 (Numerical result out of range)
fgetxattr(fd=297, name=0x1, value=0x7f38639f8000, size=4) = -1 (Bad address)
fgetxattr(fd=297, name=0x1, value=0x7f38639f8000, size=145) = -1 (Bad address)
fgetxattr(fd=297, name=0x7f38639fd000, value=0x7f38639f9000, size=4) = -1 (Numerical result out of range)
fgetxattr(fd=290, name=0x7f3863bfd000, value=0x7f3863bfd000, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=290, name=0x7f3865b05000, value=0x7f3865b05000, size=4) = -1 (Numerical result out of range)
fgetxattr(fd=290, name=0x1, value=0x2, size=15) = -1 (Bad address)
fgetxattr(fd=290, name=0x8, value=0x7f3863bfd000, size=0x400e0) = -1 (Bad address)
fgetxattr(fd=289, name=0x7f3863dfd000, value=0x7f3863dfd001, size=8) = -1 (Numerical result out of range)
fgetxattr(fd=289, name=0x0, value=0x1, size=132) = -1 (Bad address)
fgetxattr(fd=89, name=0x0, value=0x4, size=16381) = -1 (Bad address)
fgetxattr(fd=89, name=0x7f38641fd000, value=0x7f38640fd000, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=89, name=0x0, value=0x7f38641fd000, size=0x1000000) = -1 (Bad address)
fgetxattr(fd=89, name=0x1, value=0x9, size=1) = -1 (Bad address)
fgetxattr(fd=89, name=0x4, value=0x7f38639fb000, size=4033) = -1 (Bad address)
fgetxattr(fd=89, name=0x4, value=0x7f3863dfd000, size=4088) = -1 (Bad address)
fgetxattr(fd=8, name=0x0, value=0x7f3863ffd000, size=4096) = -1 (Bad address)
