name_to_handle_at(fd=283, name=0x7fec1292b000, handle=0x7fec12a2b000, mnt_id=0x7fec1272b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=283, name=0x8, handle=0x0, mnt_id=0x0, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=336, name=0x8, handle=0x10, mnt_id=0x7fec12b2b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=336, name=0x7fec12b2b000, handle=0x7fec1232a000, mnt_id=0x7fec14433000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=336, name=0x1, handle=0x1, mnt_id=0x7fec12327000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=336, name=0x7fec1292b000, handle=0x7fec1292b004, mnt_id=0x7fec12326000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=336, name=0x0, handle=0x0, mnt_id=0x7fec1292b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=336, name=0x8, handle=0x7fec1272b000, mnt_id=0x7fec1272b004, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=121, name=0x4, handle=0xc, mnt_id=0x14, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=121, name=0x7fec12a2b000, handle=0x7fec1252b000, mnt_id=0x7fec1252b001, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=407, name=0x7fec1232b000, handle=0x7fec1232b004, mnt_id=0x7fec12327000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=407, name=0x0, handle=0x1, mnt_id=0x9, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=407, name=0x4, handle=0x5, mnt_id=0x6, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=407, name=0x4, handle=0x7fec1252b000, mnt_id=0x7fec12326000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=407, name=0x0, handle=0x4, mnt_id=0x7fec12329000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=407, name=0x1, handle=0x7fec1252b000, mnt_id=0x7fec1292b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=17, name=0x0, handle=0x8, mnt_id=0x7fec12327000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=17, name=0x1, handle=0x1, mnt_id=0x7fec1272b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=369, name=0x0, handle=0x4, mnt_id=0x5, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=369, name=0x8, handle=0x10, mnt_id=0x7fec1232b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=408, name=0x7fec1272b000, handle=0x7fec1272b000, mnt_id=0x7fec1272b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=408, name=0x4, handle=0x5, mnt_id=0xd, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=305, name=0x7fec12a2b000, handle=0x7fec14435000, mnt_id=0x7fec14435000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=305, name=0x8, handle=0x7fec1252b000, mnt_id=0x7fec1252b004, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=410, name=0x0, handle=0x7fec1272b000, mnt_id=0x0, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=410, name=0x7fec12327000, handle=0x7fec12327000, mnt_id=0x7fec1252b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=410, name=0x1, handle=0x7fec1232a000, mnt_id=0x7fec1232a008, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=282, name=0x7fec12327000, handle=0x7fec1272b000, mnt_id=0x7fec1272b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=282, name=0x7fec1252b000, handle=0x7fec1252b001, mnt_id=0x7fec1252b002, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=282, name=0x4, handle=0x0, mnt_id=0x1, flag=0xffffffffffffff9c) = -1 (Invalid argument)
