mq_timedsend(mqdes=285, u_msg_ptr=0x0, msg_len=4096, msg_prio=0x76df, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=285, u_msg_ptr=0x4, msg_len=58, msg_prio=0x7ffb, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=285, u_msg_ptr=0x7fa113204000, msg_len=19, msg_prio=0x67d2, u_abs_timeout=0x7fa113204000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=285, u_msg_ptr=0x0, msg_len=4, msg_prio=210, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedsend(mqdes=285, u_msg_ptr=0x7fa113909000, msg_len=4, msg_prio=0, u_abs_timeout=0x7fa113909004) = -1 (Bad file descriptor)
mq_timedsend(mqdes=303, u_msg_ptr=0x0, msg_len=8, msg_prio=1156, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedsend(mqdes=303, u_msg_ptr=0x4, msg_len=0xe000, msg_prio=0x7fab, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=303, u_msg_ptr=0x0, msg_len=1, msg_prio=0, u_abs_timeout=0x7fa113a09000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=263, u_msg_ptr=0x4, msg_len=4, msg_prio=255, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedsend(mqdes=263, u_msg_ptr=0x4, msg_len=1, msg_prio=4606, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=263, u_msg_ptr=0x7fa113909000, msg_len=1, msg_prio=0, u_abs_timeout=0x7fa113204000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=263, u_msg_ptr=0x7fa113206000, msg_len=1, msg_prio=0, u_abs_timeout=0x7fa113206001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=301, u_msg_ptr=0x0, msg_len=0x20000, msg_prio=24, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=301, u_msg_ptr=0x1, msg_len=0x6666, msg_prio=0x55d5, u_abs_timeout=0x1) = -1 (Bad address)
mq_timedsend(mqdes=301, u_msg_ptr=0x0, msg_len=0x443c, msg_prio=79, u_abs_timeout=0x1) = -1 (Bad address)
mq_timedsend(mqdes=290, u_msg_ptr=0x8, msg_len=4096, msg_prio=11950, u_abs_timeout=0xc) = -1 (Bad address)
mq_timedsend(mqdes=290, u_msg_ptr=0x7fa113206000, msg_len=0xfffffd, msg_prio=174, u_abs_timeout=0x7fa113206001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=14, u_msg_ptr=0x7fa113909000, msg_len=0, msg_prio=3855, u_abs_timeout=0x7fa113909001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=14, u_msg_ptr=0x4, msg_len=32, msg_prio=0x7f34, u_abs_timeout=0x7fa113909000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=27, u_msg_ptr=0x7f31aa1b6000, msg_len=8, msg_prio=5120, u_abs_timeout=0x7f31aa1b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=15, u_msg_ptr=0x4, msg_len=4091, msg_prio=7835, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=15, u_msg_ptr=0x7f31aa5b7000, msg_len=4, msg_prio=0x7ffe, u_abs_timeout=0x7f31aa5b7001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=23, u_msg_ptr=0x7f31aa1b4000, msg_len=0xfffffffff1b1b1b2, msg_prio=128, u_abs_timeout=0x7f31aa8b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=23, u_msg_ptr=0x8, msg_len=256, msg_prio=0, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=23, u_msg_ptr=0x7f31aa5b7000, msg_len=-6, msg_prio=9078, u_abs_timeout=0x7f31aa5b7008) = -1 (Bad file descriptor)
mq_timedsend(mqdes=23, u_msg_ptr=0x7f31ac2c1000, msg_len=8, msg_prio=128, u_abs_timeout=0x7f31aa8b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=23, u_msg_ptr=0x0, msg_len=13, msg_prio=0x7c7c, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=22, u_msg_ptr=0x0, msg_len=0x4412, msg_prio=0x67a0, u_abs_timeout=0x7f31aa9b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=22, u_msg_ptr=0x7f31aa1b3000, msg_len=4096, msg_prio=0x7f42, u_abs_timeout=0x7f31ac2c1000) = -1 (Bad file descriptor)
